#: table_doi: 10.17182/hepdata.68951.v1/t4
#: name: Table 4
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 225$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table4.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 225.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],225.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
45.0,0.00181,1.158,1.17,-1.17,1.14,-1.14,1.21,-1.21,0.67,-0.67,-0.13,0.13,-0.12,0.12,-0.02,0.02,0.08,-0.08,0.07,-0.07,0.29,-0.29
45.0,0.00229,1.094,1.69,-1.69,1.0,-1.0,1.21,-1.21,0.56,-0.56,-0.11,0.11,-0.05,0.05,-0.01,0.01,0.22,-0.22,0.06,-0.06,0.23,-0.23
45.0,0.00286,1.085,1.01,-1.01,0.89,-0.89,1.21,-1.21,0.66,-0.66,-0.11,0.11,-0.01,0.01,-0.01,0.01,0.3,-0.3,0.06,-0.06,0.31,-0.31
45.0,0.00444,0.929,0.92,-0.92,1.23,-1.23,1.22,-1.22,0.77,-0.77,-0.12,0.12,0.0,-0.0,-0.01,0.01,0.05,-0.05,0.06,-0.06,0.38,-0.38
45.0,0.0074,0.802,0.92,-0.92,1.07,-1.07,1.26,-1.26,0.86,-0.86,-0.14,0.14,-0.01,0.01,-0.02,0.02,-0.57,0.57,0.07,-0.07,0.49,-0.49
60.0,0.00139,1.185,4.98,-4.98,3.05,-3.05,2.26,-2.26,0.55,-0.55,-0.11,0.11,-0.03,0.03,-0.01,0.01,-1.14,1.14,0.14,-0.14,0.27,-0.27
60.0,0.00158,1.142,2.97,-2.97,1.78,-1.78,1.47,-1.47,0.53,-0.53,-0.11,0.11,-0.08,0.08,-0.02,0.02,-0.44,0.44,0.1,-0.1,0.13,-0.13
60.0,0.00171,1.255,3.64,-3.64,2.63,-2.63,1.28,-1.28,0.14,-0.14,-0.1,0.1,-0.14,0.14,-0.02,0.02,0.19,-0.19,0.06,-0.06,-0.07,0.07
60.0,0.00182,1.19,3.42,-3.42,3.1,-3.1,1.26,-1.26,0.02,-0.02,-0.09,0.09,-0.13,0.13,-0.02,0.02,0.02,-0.02,0.07,-0.07,-0.1,0.1
60.0,0.00211,1.209,2.57,-2.57,1.64,-1.64,1.2,-1.2,0.12,-0.12,-0.07,0.07,-0.07,0.07,-0.01,0.01,0.22,-0.22,0.07,-0.07,-0.05,0.05
