#: table_doi: 10.17182/hepdata.68951.v1/t2
#: name: Table 2
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 300$ GeV;
$\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
$\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table2.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 300.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],300.0
Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
0.15,2.07e-06,0.22,4.37%,-4.37%,1.5%,-1.5%,4.59%,-4.59%,2.68%,-2.68%,1.68%,-1.68%,-0.91%,0.91%,-4.2%,4.2%,0.0%,-0.0%,-0.02%,0.02%,0.01%,-0.01%
0.15,2.36e-06,0.194,2.02%,-2.02%,1.02%,-1.02%,3.08%,-3.08%,1.88%,-1.88%,1.39%,-1.39%,-0.44%,0.44%,-1.89%,1.89%,0.0%,-0.0%,-0.02%,0.02%,0.01%,-0.01%
0.15,2.76e-06,0.197,1.63%,-1.63%,0.92%,-0.92%,2.28%,-2.28%,1.46%,-1.46%,1.25%,-1.25%,-0.07%,0.07%,-0.78%,0.78%,0.0%,-0.0%,-0.01%,0.01%,0.01%,-0.01%
0.15,3.31e-06,0.198,1.54%,-1.54%,0.78%,-0.78%,2.15%,-2.15%,1.35%,-1.35%,1.15%,-1.15%,-0.33%,0.33%,0.04%,-0.04%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.15,4.14e-06,0.186,1.98%,-1.98%,0.83%,-0.83%,2.37%,-2.37%,0.86%,-0.86%,0.56%,-0.56%,-0.12%,0.12%,-0.15%,0.15%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.2,3.15e-06,0.243,2.5%,-2.5%,0.95%,-0.95%,2.99%,-2.99%,2.11%,-2.11%,1.42%,-1.42%,-1.04%,1.04%,-1.82%,1.82%,0.0%,-0.0%,-0.02%,0.02%,0.01%,-0.01%
0.2,3.68e-06,0.242,1.99%,-1.99%,0.95%,-0.95%,2.16%,-2.16%,1.46%,-1.46%,1.29%,-1.29%,-0.35%,0.35%,-0.74%,0.74%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.2,4.41e-06,0.236,1.63%,-1.63%,0.75%,-0.75%,2.03%,-2.03%,1.16%,-1.16%,1.02%,-1.02%,-0.04%,0.04%,-0.2%,0.2%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.2,5.52e-06,0.233,1.48%,-1.48%,0.65%,-0.65%,1.9%,-1.9%,1.2%,-1.2%,0.71%,-0.71%,-0.23%,0.23%,0.21%,-0.21%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.25,3.94e-06,0.27,4.11%,-4.11%,1.5%,-1.5%,2.86%,-2.86%,1.95%,-1.95%,1.7%,-1.7%,-0.48%,0.48%,-0.07%,0.07%,0.0%,-0.0%,-0.01%,0.01%,0.01%,-0.01%
0.25,4.6e-06,0.274,2.1%,-2.1%,0.93%,-0.93%,2.62%,-2.62%,1.67%,-1.67%,1.19%,-1.19%,-0.3%,0.3%,-0.11%,0.11%,0.0%,-0.0%,-0.01%,0.01%,0.01%,-0.01%
0.25,5.52e-06,0.278,1.79%,-1.79%,0.93%,-0.93%,1.93%,-1.93%,1.27%,-1.27%,1.06%,-1.06%,-0.27%,0.27%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.25,6.9e-06,0.273,1.57%,-1.57%,0.79%,-0.79%,1.91%,-1.91%,1.18%,-1.18%,0.7%,-0.7%,-0.26%,0.26%,0.12%,-0.12%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.35,5.12e-06,0.332,3.43%,-3.43%,1.5%,-1.5%,3.36%,-3.36%,2.02%,-2.02%,1.64%,-1.64%,-0.52%,0.52%,0.81%,-0.81%,0.0%,-0.0%,-0.01%,0.01%,0.01%,-0.01%
0.35,6.1e-06,0.358,5.74%,-5.74%,11.03%,-11.03%,4.73%,-4.73%,1.0%,-1.0%,-1.88%,1.88%,-1.73%,1.73%,4.03%,-4.03%,0.01%,-0.01%,-0.07%,0.07%,0.01%,-0.01%
0.35,6.62e-06,0.327,2.07%,-2.07%,0.92%,-0.92%,1.94%,-1.94%,1.24%,-1.24%,1.01%,-1.01%,-0.32%,0.32%,-0.31%,0.31%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.35,8.28e-06,0.329,1.83%,-1.83%,0.93%,-0.93%,1.97%,-1.97%,1.26%,-1.26%,0.74%,-0.74%,-0.23%,0.23%,0.07%,-0.07%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.4,8.83e-06,0.346,3.87%,-3.87%,1.5%,-1.5%,2.61%,-2.61%,1.3%,-1.3%,1.02%,-1.02%,-0.26%,0.26%,0.45%,-0.45%,0.0%,-0.0%,0.0%,-0.0%,0.0%,-0.0%
0.4,1.1e-05,0.367,2.19%,-2.19%,0.89%,-0.89%,2.25%,-2.25%,1.49%,-1.49%,0.66%,-0.66%,-0.36%,0.36%,0.21%,-0.21%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
0.5,8.6e-06,0.441,3.75%,-3.75%,9.17%,-9.17%,3.54%,-3.54%,0.92%,-0.92%,-1.56%,1.56%,-0.96%,0.96%,3.31%,-3.31%,0.01%,-0.01%,-0.05%,0.05%,0.02%,-0.02%
0.65,1.12e-05,0.51,4.25%,-4.25%,2.61%,-2.61%,2.74%,-2.74%,1.09%,-1.09%,-1.44%,1.44%,-0.9%,0.9%,2.01%,-2.01%,0.01%,-0.01%,-0.05%,0.05%,0.03%,-0.03%
0.65,1.64e-05,0.507,3.02%,-3.02%,7.28%,-7.28%,2.37%,-2.37%,0.69%,-0.69%,-0.87%,0.87%,-0.33%,0.33%,1.22%,-1.22%,0.0%,-0.0%,-0.02%,0.02%,0.03%,-0.03%
0.85,1.38e-05,0.614,5.2%,-5.2%,9.45%,-9.45%,5.02%,-5.02%,1.1%,-1.1%,-2.04%,2.04%,-1.73%,1.73%,4.69%,-4.69%,0.02%,-0.02%,-0.08%,0.08%,0.01%,-0.01%
0.85,2e-05,0.606,2.33%,-2.33%,1.23%,-1.23%,2.05%,-2.05%,0.97%,-0.97%,-0.97%,0.97%,-0.5%,0.5%,0.68%,-0.68%,0.01%,-0.01%,-0.04%,0.04%,0.03%,-0.03%
1.2,2e-05,0.74,3.6%,-3.6%,8.36%,-8.36%,3.6%,-3.6%,0.89%,-0.89%,-1.55%,1.55%,-1.44%,1.44%,3.22%,-3.22%,0.01%,-0.01%,-0.05%,0.05%,0.02%,-0.02%
1.2,3.2e-05,0.665,2.14%,-2.14%,1.09%,-1.09%,2.05%,-2.05%,0.64%,-0.64%,-1.07%,1.07%,-0.61%,0.61%,0.0%,-0.0%,0.01%,-0.01%,-0.05%,0.05%,0.03%,-0.03%
1.5,3.2e-05,0.817,1.18%,-1.18%,3.2%,-3.2%,2.12%,-2.12%,0.97%,-0.97%,-4.33%,4.33%,-0.33%,0.33%,0.23%,-0.23%,0.02%,-0.02%,-0.12%,0.12%,-0.03%,0.03%
2.0,3.27e-05,0.856,2.65%,-2.65%,2.11%,-2.11%,2.55%,-2.55%,1.19%,-1.19%,-2.36%,2.36%,-0.82%,0.82%,-0.04%,0.04%,0.02%,-0.02%,-0.09%,0.09%,-0.02%,0.02%
2.0,5e-05,0.854,1.31%,-1.31%,1.64%,-1.64%,1.22%,-1.22%,0.68%,-0.68%,-1.21%,1.21%,-0.45%,0.45%,0.49%,-0.49%,0.01%,-0.01%,-0.03%,0.03%,0.03%,-0.03%
2.7,4.09e-05,0.961,1.54%,-1.54%,6.21%,-6.21%,1.94%,-1.94%,0.95%,-0.95%,-3.84%,3.84%,-0.81%,0.81%,-0.5%,0.5%,0.03%,-0.03%,-0.13%,0.13%,-0.05%,0.05%
2.7,5e-05,0.886,1.06%,-1.06%,1.27%,-1.27%,1.31%,-1.31%,0.81%,-0.81%,-1.82%,1.82%,-0.57%,0.57%,0.5%,-0.5%,0.02%,-0.02%,-0.08%,0.08%,0.02%,-0.02%
2.7,8e-05,0.905,3.27%,-3.27%,1.0%,-1.0%,1.65%,-1.65%,0.71%,-0.71%,-0.43%,0.43%,-0.85%,0.85%,-0.1%,0.1%,0.01%,-0.01%,-0.03%,0.03%,0.01%,-0.01%
3.5,5.73e-05,1.008,1.94%,-1.94%,3.35%,-3.35%,2.62%,-2.62%,0.98%,-0.98%,-2.97%,2.97%,-0.9%,0.9%,-0.26%,0.26%,0.09%,-0.09%,-0.39%,0.39%,-0.39%,0.39%
3.5,8e-05,0.98,0.99%,-0.99%,1.05%,-1.05%,1.06%,-1.06%,0.68%,-0.68%,-1.21%,1.21%,-0.58%,0.58%,-0.23%,0.23%,0.0%,-0.0%,-0.03%,0.03%,0.0%,-0.0%
4.5,8.18e-05,1.115,1.59%,-1.59%,1.06%,-1.06%,1.47%,-1.47%,0.89%,-0.89%,-1.8%,1.8%,-0.7%,0.7%,0.02%,-0.02%,0.04%,-0.04%,-0.16%,0.16%,0.03%,-0.03%
4.5,0.00013,1.01,1.02%,-1.02%,1.68%,-1.68%,0.91%,-0.91%,0.51%,-0.51%,-0.45%,0.45%,-0.46%,0.46%,0.16%,-0.16%,0.01%,-0.01%,-0.01%,0.01%,0.03%,-0.03%
6.5,9.86e-05,1.165,2.41%,-2.41%,0.99%,-0.99%,2.79%,-2.79%,0.88%,-0.88%,-2.27%,2.27%,-0.64%,0.64%,-0.29%,0.29%,0.09%,-0.09%,-0.39%,0.39%,-0.23%,0.23%
6.5,0.00013,1.174,1.11%,-1.11%,0.6%,-0.6%,1.1%,-1.1%,0.64%,-0.64%,-1.27%,1.27%,-0.52%,0.52%,-0.04%,0.04%,0.02%,-0.02%,-0.1%,0.1%,0.0%,-0.0%
6.5,0.0002,1.111,1.15%,-1.15%,1.41%,-1.41%,0.89%,-0.89%,0.5%,-0.5%,-0.19%,0.19%,-0.52%,0.52%,0.53%,-0.53%,0.0%,-0.0%,0.0%,-0.0%,0.04%,-0.04%
8.5,0.000139,1.177,1.59%,-1.59%,1.25%,-1.25%,2.31%,-2.31%,1.21%,-1.21%,-4.1%,4.1%,-0.65%,0.65%,-0.82%,0.82%,0.06%,-0.06%,-0.28%,0.28%,-0.14%,0.14%
8.5,0.0002,1.212,1.07%,-1.07%,0.81%,-0.81%,0.91%,-0.91%,0.51%,-0.51%,-0.76%,0.76%,-0.36%,0.36%,-0.2%,0.2%,-0.01%,0.01%,0.0%,-0.0%,0.0%,-0.0%
10.0,0.00013,1.149,4.37%,-4.37%,1.41%,-1.41%,3.66%,-3.66%,1.08%,-1.08%,-2.3%,2.3%,-0.87%,0.87%,-0.5%,0.5%,0.11%,-0.11%,-0.52%,0.52%,0.11%,-0.11%
10.0,0.0002,1.245,2.1%,-2.1%,1.33%,-1.33%,1.39%,-1.39%,0.68%,-0.68%,-0.64%,0.64%,-0.54%,0.54%,-0.18%,0.18%,0.02%,-0.02%,-0.09%,0.09%,0.12%,-0.12%
12.0,0.000161,1.226,4.12%,-4.12%,3.78%,-3.78%,1.0%,-1.0%,0.55%,-0.55%,-0.11%,0.11%,-0.16%,0.16%,-0.01%,0.01%,-0.01%,0.01%,-0.46%,0.46%,-0.15%,0.15%
12.0,0.0002,1.283,1.19%,-1.19%,1.35%,-1.35%,1.89%,-1.89%,1.08%,-1.08%,-1.41%,1.41%,-0.51%,0.51%,-0.19%,0.19%,0.02%,-0.02%,-0.21%,0.21%,-0.12%,0.12%
12.0,0.00032,1.225,0.78%,-0.78%,1.51%,-1.51%,0.94%,-0.94%,0.6%,-0.6%,-0.41%,0.41%,-0.31%,0.31%,0.02%,-0.02%,0.0%,-0.0%,-0.16%,0.16%,-0.05%,0.05%
15.0,0.0002,1.258,3.21%,-3.21%,3.61%,-3.61%,1.0%,-1.0%,0.54%,-0.54%,-0.11%,0.11%,-0.14%,0.14%,-0.01%,0.01%,-0.01%,0.01%,-0.48%,0.48%,-0.15%,0.15%
15.0,0.000246,1.36,1.17%,-1.17%,1.52%,-1.52%,1.43%,-1.43%,0.76%,-0.76%,-1.11%,1.11%,-0.46%,0.46%,-0.13%,0.13%,0.01%,-0.01%,-0.39%,0.39%,-0.1%,0.1%
15.0,0.00032,1.29,0.94%,-0.94%,1.36%,-1.36%,1.0%,-1.0%,0.68%,-0.68%,-0.63%,0.63%,-0.22%,0.22%,-0.05%,0.05%,0.0%,-0.0%,-0.19%,0.19%,-0.1%,0.1%
18.0,0.000268,1.318,3.26%,-3.26%,3.67%,-3.67%,0.99%,-0.99%,0.54%,-0.54%,-0.11%,0.11%,-0.17%,0.17%,-0.01%,0.01%,-0.01%,0.01%,-0.46%,0.46%,-0.15%,0.15%
18.0,0.000328,1.362,1.25%,-1.25%,1.67%,-1.67%,1.09%,-1.09%,0.62%,-0.62%,-0.67%,0.67%,-0.47%,0.47%,0.06%,-0.06%,0.0%,-0.0%,-0.18%,0.18%,-0.08%,0.08%
18.0,0.0005,1.266,0.93%,-0.93%,1.01%,-1.01%,0.95%,-0.95%,0.71%,-0.71%,-0.44%,0.44%,-0.29%,0.29%,-0.08%,0.08%,0.0%,-0.0%,-0.14%,0.14%,-0.07%,0.07%
22.0,0.0005,1.335,2.57%,-2.57%,1.22%,-1.22%,1.18%,-1.18%,1.36%,-1.36%,-0.85%,0.85%,-0.43%,0.43%,-0.08%,0.08%,0.02%,-0.02%,-0.07%,0.07%,0.04%,-0.04%
27.0,0.000335,1.389,4.11%,-4.11%,3.92%,-3.92%,0.98%,-0.98%,0.54%,-0.54%,-0.12%,0.12%,-0.15%,0.15%,-0.01%,0.01%,-0.01%,0.01%,-0.45%,0.45%,-0.14%,0.14%
27.0,0.00041,1.405,1.16%,-1.16%,2.1%,-2.1%,1.15%,-1.15%,0.63%,-0.63%,-0.7%,0.7%,-0.4%,0.4%,-0.04%,0.04%,-0.01%,0.01%,-0.08%,0.08%,-0.11%,0.11%
27.0,0.0005,1.407,1.15%,-1.15%,1.46%,-1.46%,0.92%,-0.92%,0.77%,-0.77%,-0.59%,0.59%,-0.31%,0.31%,-0.02%,0.02%,0.0%,-0.0%,-0.21%,0.21%,-0.07%,0.07%
27.0,0.0008,1.286,2.46%,-2.46%,0.83%,-0.83%,0.87%,-0.87%,0.77%,-0.77%,-0.48%,0.48%,-0.28%,0.28%,0.02%,-0.02%,-0.02%,0.02%,0.02%,-0.02%,0.04%,-0.04%
35.0,0.000574,1.507,1.36%,-1.36%,2.01%,-2.01%,0.99%,-0.99%,0.59%,-0.59%,-0.47%,0.47%,-0.35%,0.35%,-0.03%,0.03%,-0.03%,0.03%,-0.19%,0.19%,-0.14%,0.14%
35.0,0.0008,1.399,0.95%,-0.95%,0.81%,-0.81%,0.91%,-0.91%,0.95%,-0.95%,-0.6%,0.6%,-0.25%,0.25%,-0.01%,0.01%,-0.01%,0.01%,-0.15%,0.15%,-0.17%,0.17%
45.0,0.0008,1.486,1.81%,-1.81%,1.45%,-1.45%,1.44%,-1.44%,0.8%,-0.8%,-1.2%,1.2%,-0.53%,0.53%,-0.06%,0.06%,-0.07%,0.07%,0.08%,-0.08%,-0.09%,0.09%
45.0,0.0013,1.306,0.95%,-0.95%,0.62%,-0.62%,0.86%,-0.86%,0.73%,-0.73%,-0.03%,0.03%,0.05%,-0.05%,0.0%,-0.0%,-0.02%,0.02%,-0.07%,0.07%,-0.21%,0.21%
60.0,0.0013,1.395,1.31%,-1.31%,0.55%,-0.55%,0.91%,-0.91%,1.01%,-1.01%,-0.42%,0.42%,-0.23%,0.23%,0.0%,-0.0%,-0.04%,0.04%,-0.03%,0.03%,-0.27%,0.27%
70.0,0.0013,1.443,1.77%,-1.77%,0.6%,-0.6%,1.03%,-1.03%,1.09%,-1.09%,-0.44%,0.44%,-0.41%,0.41%,-0.03%,0.03%,-0.06%,0.06%,0.01%,-0.01%,-0.12%,0.12%
70.0,0.002,1.262,1.72%,-1.72%,0.33%,-0.33%,0.9%,-0.9%,0.53%,-0.53%,-0.22%,0.22%,0.06%,-0.06%,0.02%,-0.02%,-0.05%,0.05%,-0.04%,0.04%,-0.33%,0.33%
90.0,0.002,1.252,1.98%,-1.98%,0.35%,-0.35%,0.98%,-0.98%,1.1%,-1.1%,-0.32%,0.32%,-0.02%,0.02%,0.02%,-0.02%,-0.03%,0.03%,-0.05%,0.05%,-0.24%,0.24%
120.0,0.00212,1.323,2.22%,-2.22%,0.77%,-0.77%,1.22%,-1.22%,1.26%,-1.26%,-0.38%,0.38%,-0.33%,0.33%,-0.02%,0.02%,-0.05%,0.05%,0.04%,-0.04%,0.2%,-0.2%
120.0,0.0032,1.178,1.93%,-1.93%,0.73%,-0.73%,0.88%,-0.88%,0.91%,-0.91%,-0.14%,0.14%,0.06%,-0.06%,0.02%,-0.02%,-0.03%,0.03%,-0.01%,0.01%,-0.15%,0.15%
150.0,0.0032,1.203,1.82%,-1.82%,0.89%,-0.89%,1.04%,-1.04%,0.88%,-0.88%,-0.37%,0.37%,-0.24%,0.24%,-0.02%,0.02%,-0.06%,0.06%,0.05%,-0.05%,0.14%,-0.14%
200.0,0.0032,1.17,3.8%,-3.8%,2.0%,-2.0%,1.32%,-1.32%,1.49%,-1.49%,-0.51%,0.51%,-0.25%,0.25%,0.0%,-0.0%,-0.04%,0.04%,0.03%,-0.03%,0.22%,-0.22%
200.0,0.005,1.072,1.89%,-1.89%,0.88%,-0.88%,0.92%,-0.92%,0.77%,-0.77%,-0.2%,0.2%,0.13%,-0.13%,0.02%,-0.02%,-0.03%,0.03%,0.0%,-0.0%,0.07%,-0.07%
250.0,0.005,1.078,2.3%,-2.3%,1.62%,-1.62%,1.02%,-1.02%,1.08%,-1.08%,-0.34%,0.34%,-0.04%,0.04%,0.02%,-0.02%,-0.02%,0.02%,-0.01%,0.01%,0.11%,-0.11%
300.0,0.005,1.126,2.94%,-2.94%,2.65%,-2.65%,0.98%,-0.98%,0.5%,-0.5%,-0.54%,0.54%,-0.29%,0.29%,0.03%,-0.03%,-0.04%,0.04%,-0.04%,0.04%,0.0%,-0.0%
300.0,0.008,0.977,2.29%,-2.29%,1.12%,-1.12%,0.95%,-0.95%,0.66%,-0.66%,-0.27%,0.27%,0.23%,-0.23%,0.01%,-0.01%,-0.05%,0.05%,0.07%,-0.07%,0.05%,-0.05%
400.0,0.008,0.956,2.63%,-2.63%,1.78%,-1.78%,0.86%,-0.86%,0.58%,-0.58%,-0.32%,0.32%,0.08%,-0.08%,0.02%,-0.02%,-0.04%,0.04%,0.03%,-0.03%,-0.07%,0.07%
400.0,0.013,0.855,2.96%,-2.96%,0.57%,-0.57%,0.83%,-0.83%,0.53%,-0.53%,-0.15%,0.15%,-0.02%,0.02%,0.02%,-0.02%,-0.04%,0.04%,0.02%,-0.02%,0.02%,-0.02%
500.0,0.008,1.021,4.21%,-4.21%,5.0%,-5.0%,1.06%,-1.06%,0.13%,-0.13%,-0.56%,0.56%,-0.35%,0.35%,0.01%,-0.01%,-0.03%,0.03%,-0.12%,0.12%,0.14%,-0.14%
500.0,0.013,0.885,3.34%,-3.34%,5.0%,-5.0%,0.99%,-0.99%,0.35%,-0.35%,-0.25%,0.25%,0.15%,-0.15%,0.0%,-0.0%,-0.04%,0.04%,0.16%,-0.16%,0.21%,-0.21%
650.0,0.0085,0.921,4.63%,-4.63%,1.82%,-1.82%,1.35%,-1.35%,1.4%,-1.4%,-0.44%,0.44%,-0.33%,0.33%,-0.03%,0.03%,-0.06%,0.06%,0.09%,-0.09%,0.21%,-0.21%
650.0,0.013,0.843,2.65%,-2.65%,1.13%,-1.13%,0.84%,-0.84%,0.35%,-0.35%,-0.2%,0.2%,0.23%,-0.23%,0.01%,-0.01%,-0.04%,0.04%,0.06%,-0.06%,0.03%,-0.03%
650.0,0.02,0.704,4.14%,-4.14%,3.7%,-3.7%,0.97%,-0.97%,0.35%,-0.35%,-0.19%,0.19%,0.02%,-0.02%,0.0%,-0.0%,-0.05%,0.05%,0.08%,-0.08%,0.23%,-0.23%
800.0,0.013,0.89,3.45%,-3.45%,1.49%,-1.49%,0.92%,-0.92%,0.82%,-0.82%,-0.26%,0.26%,-0.01%,0.01%,0.01%,-0.01%,-0.04%,0.04%,0.0%,-0.0%,0.1%,-0.1%
800.0,0.02,0.736,4.12%,-4.12%,2.31%,-2.31%,0.89%,-0.89%,0.3%,-0.3%,-0.19%,0.19%,0.26%,-0.26%,0.02%,-0.02%,-0.05%,0.05%,0.16%,-0.16%,0.06%,-0.06%
1000.0,0.02,0.74,5.45%,-5.45%,3.7%,-3.7%,1.03%,-1.03%,0.25%,-0.25%,-0.38%,0.38%,0.13%,-0.13%,0.0%,-0.0%,-0.04%,0.04%,0.16%,-0.16%,0.15%,-0.15%
1200.0,0.014,0.872,5.51%,-5.51%,1.05%,-1.05%,1.31%,-1.31%,1.43%,-1.43%,-0.44%,0.44%,-0.03%,0.03%,0.0%,-0.0%,-0.04%,0.04%,0.06%,-0.06%,0.14%,-0.14%
1200.0,0.02,0.703,4.19%,-4.19%,1.13%,-1.13%,0.81%,-0.81%,0.42%,-0.42%,-0.33%,0.33%,0.2%,-0.2%,0.04%,-0.04%,-0.03%,0.03%,0.04%,-0.04%,-0.01%,0.01%
1200.0,0.032,0.589,3.96%,-3.96%,1.51%,-1.51%,0.79%,-0.79%,-0.08%,0.08%,-0.15%,0.15%,-0.03%,0.03%,0.03%,-0.03%,-0.05%,0.05%,0.1%,-0.1%,0.03%,-0.03%
1500.0,0.02,0.734,5.99%,-5.99%,3.87%,-3.87%,0.93%,-0.93%,-0.02%,0.02%,-0.38%,0.38%,-0.34%,0.34%,0.04%,-0.04%,-0.04%,0.04%,-0.19%,0.19%,-0.05%,0.05%
1500.0,0.032,0.556,6.45%,-6.45%,2.29%,-2.29%,0.85%,-0.85%,0.22%,-0.22%,-0.26%,0.26%,0.27%,-0.27%,0.03%,-0.03%,-0.04%,0.04%,0.18%,-0.18%,0.06%,-0.06%
2000.0,0.032,0.596,6.11%,-6.11%,2.45%,-2.45%,0.83%,-0.83%,0.16%,-0.16%,-0.23%,0.23%,0.16%,-0.16%,-0.01%,0.01%,-0.04%,0.04%,0.05%,-0.05%,0.08%,-0.08%
2000.0,0.05,0.496,5.68%,-5.68%,1.7%,-1.7%,0.8%,-0.8%,0.26%,-0.26%,-0.13%,0.13%,0.1%,-0.1%,0.0%,-0.0%,-0.05%,0.05%,0.17%,-0.17%,0.13%,-0.13%
3000.0,0.05,0.522,5.63%,-5.63%,2.2%,-2.2%,0.85%,-0.85%,0.18%,-0.18%,-0.29%,0.29%,0.29%,-0.29%,0.03%,-0.03%,-0.04%,0.04%,0.14%,-0.14%,0.02%,-0.02%
3000.0,0.08,0.444,5.78%,-5.78%,1.98%,-1.98%,0.8%,-0.8%,-0.02%,0.02%,-0.07%,0.07%,0.01%,-0.01%,0.02%,-0.02%,-0.05%,0.05%,0.17%,-0.17%,0.12%,-0.12%
