#: table_doi: 10.17182/hepdata.68951.v1/t3
#: name: Table 3
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 251$ GeV;
$\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
$\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table3.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 251.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],251.0
Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
8.5,0.00103,0.678,12.9,-12.9,13.65,-13.65,1.77,-1.77,0.48,-0.48,-0.1,0.1,-0.1,0.1,-0.01,0.01,-0.47,0.47,0.07,-0.07,0.32,-0.32
8.5,0.0014,0.823,2.57,-2.57,2.07,-2.07,1.41,-1.41,0.85,-0.85,-0.16,0.16,0.07,-0.07,-0.03,0.03,0.06,-0.06,0.07,-0.07,0.46,-0.46
12.0,0.000223,1.293,5.39,-5.39,4.0,-4.0,2.8,-2.8,2.1,-2.1,-0.3,0.3,-0.61,0.61,-0.09,0.09,-6.55,6.55,0.07,-0.07,0.69,-0.69
12.0,0.000249,1.148,2.95,-2.95,2.72,-2.72,1.44,-1.44,1.8,-1.8,-0.22,0.22,-0.31,0.31,-0.05,0.05,-1.38,1.38,0.06,-0.06,0.62,-0.62
12.0,0.000278,1.199,2.35,-2.35,2.17,-2.17,1.31,-1.31,1.35,-1.35,-0.17,0.17,-0.3,0.3,-0.03,0.03,-0.26,0.26,0.05,-0.05,0.49,-0.49
12.0,0.000295,1.176,3.77,-3.77,3.74,-3.74,1.43,-1.43,1.78,-1.78,-0.23,0.23,-0.2,0.2,-0.04,0.04,0.6,-0.6,0.06,-0.06,0.75,-0.75
12.0,0.000316,1.193,2.54,-2.54,2.37,-2.37,1.37,-1.37,1.15,-1.15,-0.16,0.16,-0.27,0.27,-0.02,0.02,-0.41,0.41,0.06,-0.06,0.42,-0.42
12.0,0.000343,1.228,3.43,-3.43,3.12,-3.12,1.36,-1.36,1.44,-1.44,-0.2,0.2,-0.14,0.14,-0.02,0.02,0.78,-0.78,0.05,-0.05,0.68,-0.68
12.0,0.000364,1.176,2.12,-2.12,1.96,-1.96,1.35,-1.35,0.9,-0.9,-0.14,0.14,-0.26,0.26,-0.02,0.02,0.1,-0.1,0.06,-0.06,0.39,-0.39
12.0,0.000423,1.226,4.09,-4.09,3.32,-3.32,1.37,-1.37,1.39,-1.39,-0.17,0.17,-0.1,0.1,-0.02,0.02,0.52,-0.52,0.06,-0.06,0.62,-0.62
12.0,0.000483,1.124,1.18,-1.18,1.71,-1.71,1.26,-1.26,0.92,-0.92,-0.14,0.14,-0.04,0.04,-0.02,0.02,0.12,-0.12,0.06,-0.06,0.42,-0.42
12.0,0.000592,1.145,5.23,-5.23,4.72,-4.72,1.64,-1.64,0.89,-0.89,-0.13,0.13,-0.08,0.08,-0.01,0.01,0.33,-0.33,0.06,-0.06,0.39,-0.39
12.0,0.000764,1.054,1.23,-1.23,1.82,-1.82,1.28,-1.28,0.8,-0.8,-0.12,0.12,0.06,-0.06,-0.02,0.02,0.34,-0.34,0.06,-0.06,0.4,-0.4
12.0,0.00091,0.965,5.51,-5.51,6.78,-6.78,1.8,-1.8,0.86,-0.86,-0.13,0.13,-0.08,0.08,0.0,-0.0,0.46,-0.46,0.06,-0.06,0.33,-0.33
12.0,0.00118,1.02,1.29,-1.29,1.83,-1.83,1.3,-1.3,0.85,-0.85,-0.13,0.13,0.06,-0.06,-0.01,0.01,0.25,-0.25,0.07,-0.07,0.42,-0.42
12.0,0.00146,0.828,5.42,-5.42,7.17,-7.17,1.83,-1.83,0.7,-0.7,-0.12,0.12,-0.11,0.11,-0.01,0.01,-1.04,1.04,0.07,-0.07,0.53,-0.53
12.0,0.00197,0.88,2.24,-2.24,2.0,-2.0,1.49,-1.49,1.04,-1.04,-0.18,0.18,0.07,-0.07,-0.04,0.04,-0.22,0.22,0.07,-0.07,0.5,-0.5
15.0,0.000279,1.147,6.2,-6.2,4.04,-4.04,2.44,-2.44,1.78,-1.78,-0.24,0.24,-0.46,0.46,-0.06,0.06,-5.39,5.39,0.07,-0.07,0.6,-0.6
15.0,0.000312,1.284,2.62,-2.62,2.56,-2.56,1.37,-1.37,1.08,-1.08,-0.19,0.19,-0.41,0.41,-0.05,0.05,-0.89,0.89,0.07,-0.07,0.55,-0.55
15.0,0.000348,1.187,2.4,-2.4,2.11,-2.11,1.25,-1.25,0.86,-0.86,-0.16,0.16,-0.22,0.22,-0.03,0.03,-0.06,0.06,0.06,-0.06,0.46,-0.46
15.0,0.000394,1.174,2.19,-2.19,2.01,-2.01,1.27,-1.27,1.24,-1.24,-0.17,0.17,-0.29,0.29,-0.03,0.03,-0.11,0.11,0.06,-0.06,0.53,-0.53
15.0,0.000422,1.242,2.61,-2.61,2.13,-2.13,1.32,-1.32,1.33,-1.33,-0.18,0.18,-0.14,0.14,-0.02,0.02,0.64,-0.64,0.06,-0.06,0.59,-0.59
15.0,0.000455,1.259,2.33,-2.33,2.01,-2.01,1.32,-1.32,0.98,-0.98,-0.15,0.15,-0.24,0.24,-0.02,0.02,-0.06,0.06,0.06,-0.06,0.41,-0.41
15.0,0.000529,1.204,2.72,-2.72,1.94,-1.94,1.32,-1.32,1.25,-1.25,-0.17,0.17,-0.12,0.12,-0.02,0.02,0.26,-0.26,0.06,-0.06,0.66,-0.66
15.0,0.000604,1.168,1.22,-1.22,1.46,-1.46,1.26,-1.26,1.13,-1.13,-0.16,0.16,-0.07,0.07,-0.02,0.02,0.07,-0.07,0.05,-0.05,0.48,-0.48
15.0,0.000763,1.145,3.3,-3.3,2.6,-2.6,1.36,-1.36,1.27,-1.27,-0.15,0.15,-0.08,0.08,-0.02,0.02,0.35,-0.35,0.05,-0.05,0.61,-0.61
15.0,0.000955,1.042,1.28,-1.28,1.82,-1.82,1.28,-1.28,0.73,-0.73,-0.12,0.12,0.05,-0.05,-0.01,0.01,0.52,-0.52,0.06,-0.06,0.37,-0.37
15.0,0.00114,1.093,3.78,-3.78,3.31,-3.31,1.44,-1.44,1.05,-1.05,-0.15,0.15,-0.09,0.09,-0.02,0.02,0.12,-0.12,0.06,-0.06,0.59,-0.59
15.0,0.00148,0.976,1.32,-1.32,1.83,-1.83,1.36,-1.36,1.07,-1.07,-0.14,0.14,0.07,-0.07,-0.01,0.01,0.07,-0.07,0.06,-0.06,0.44,-0.44
15.0,0.00182,0.847,4.43,-4.43,3.95,-3.95,1.54,-1.54,0.87,-0.87,-0.14,0.14,-0.1,0.1,-0.01,0.01,-0.64,0.64,0.07,-0.07,0.62,-0.62
15.0,0.00247,0.861,2.16,-2.16,1.98,-1.98,1.48,-1.48,1.25,-1.25,-0.17,0.17,0.08,-0.08,-0.02,0.02,-0.15,0.15,0.06,-0.06,0.48,-0.48
20.0,0.000372,1.332,6.47,-6.47,4.25,-4.25,2.21,-2.21,1.82,-1.82,-0.29,0.29,-0.38,0.38,-0.08,0.08,-4.26,4.26,0.08,-0.08,0.66,-0.66
20.0,0.000415,1.261,3.63,-3.63,2.93,-2.93,1.39,-1.39,1.06,-1.06,-0.18,0.18,-0.37,0.37,-0.04,0.04,-1.21,1.21,0.06,-0.06,0.45,-0.45
20.0,0.000464,1.294,3.04,-3.04,2.46,-2.46,1.31,-1.31,0.79,-0.79,-0.12,0.12,-0.24,0.24,-0.02,0.02,-0.09,0.09,0.06,-0.06,0.36,-0.36
20.0,0.000526,1.142,3.16,-3.16,2.46,-2.46,1.33,-1.33,1.09,-1.09,-0.17,0.17,-0.35,0.35,-0.03,0.03,-0.6,0.6,0.06,-0.06,0.42,-0.42
20.0,0.000607,1.226,2.57,-2.57,2.06,-2.06,1.53,-1.53,1.17,-1.17,-0.16,0.16,-0.25,0.25,-0.01,0.01,-0.07,0.07,0.05,-0.05,0.41,-0.41
20.0,0.000805,1.211,1.41,-1.41,1.84,-1.84,1.31,-1.31,0.91,-0.91,-0.12,0.12,-0.1,0.1,-0.01,0.01,0.25,-0.25,0.06,-0.06,0.38,-0.38
20.0,0.00127,1.091,1.39,-1.39,1.84,-1.84,1.33,-1.33,0.93,-0.93,-0.11,0.11,0.05,-0.05,0.0,-0.0,0.38,-0.38,0.06,-0.06,0.39,-0.39
20.0,0.00197,0.982,1.44,-1.44,1.85,-1.85,1.35,-1.35,1.04,-1.04,-0.14,0.14,0.06,-0.06,-0.01,0.01,0.15,-0.15,0.06,-0.06,0.43,-0.43
20.0,0.00329,0.858,2.38,-2.38,2.03,-2.03,1.4,-1.4,1.09,-1.09,-0.16,0.16,0.07,-0.07,-0.02,0.02,-0.1,0.1,0.06,-0.06,0.47,-0.47
25.0,0.000493,1.3,2.79,-2.79,2.55,-2.55,1.3,-1.3,1.03,-1.03,-0.17,0.17,-0.36,0.36,-0.04,0.04,-0.66,0.66,0.06,-0.06,0.4,-0.4
25.0,0.00057,1.33,3.15,-3.15,2.69,-2.69,1.38,-1.38,0.74,-0.74,-0.15,0.15,-0.21,0.21,-0.04,0.04,-0.25,0.25,0.07,-0.07,0.48,-0.48
25.0,0.000616,1.259,1.77,-1.77,1.83,-1.83,1.21,-1.21,0.83,-0.83,-0.15,0.15,-0.29,0.29,-0.03,0.03,-0.07,0.07,0.06,-0.06,0.42,-0.42
25.0,0.0007,1.325,2.27,-2.27,1.88,-1.88,1.25,-1.25,0.9,-0.9,-0.14,0.14,-0.12,0.12,-0.02,0.02,0.18,-0.18,0.07,-0.07,0.45,-0.45
25.0,0.000759,1.227,2.6,-2.6,2.06,-2.06,1.34,-1.34,0.99,-0.99,-0.17,0.17,-0.24,0.24,-0.02,0.02,-0.16,0.16,0.07,-0.07,0.45,-0.45
25.0,0.00088,1.248,2.16,-2.16,1.62,-1.62,1.28,-1.28,1.03,-1.03,-0.14,0.14,-0.1,0.1,-0.02,0.02,0.28,-0.28,0.06,-0.06,0.48,-0.48
25.0,0.00101,1.231,1.25,-1.25,1.23,-1.23,1.21,-1.21,0.99,-0.99,-0.14,0.14,-0.07,0.07,-0.01,0.01,0.43,-0.43,0.06,-0.06,0.45,-0.45
