#: table_doi: 10.17182/hepdata.68951.v1/t5
#: name: Table 5
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{-}$ for NC $e^{-}p$ scattering at $\sqrt{s} = 318$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{-}$.

#: data_file: Table5.yaml
#: keyword reactions: E- P --> E- X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 318.0
#: RE,E- P --> E- X
#: SQRT(S) [GeV],318.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{-}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
300.0,0.032,0.608,0.87,-0.87,0.58,-0.58,1.01,-1.01,0.12,-0.12,-0.05,0.05,-0.06,0.06,0.0,-0.0,-0.05,0.05,-0.11,0.11,-0.07,0.07
300.0,0.05,0.517,0.9,-0.9,0.57,-0.57,1.03,-1.03,0.11,-0.11,-0.04,0.04,-0.08,0.08,0.0,-0.0,-0.05,0.05,-0.08,0.08,-0.09,0.09
300.0,0.08,0.436,0.88,-0.88,0.59,-0.59,1.01,-1.01,0.11,-0.11,-0.04,0.04,-0.09,0.09,0.0,-0.0,-0.05,0.05,-0.12,0.12,-0.08,0.08
300.0,0.13,0.366,1.36,-1.36,1.78,-1.78,1.06,-1.06,0.3,-0.3,-0.04,0.04,-0.1,0.1,0.0,-0.0,-0.04,0.04,-0.35,0.35,-0.06,0.06
300.0,0.18,0.314,1.12,-1.12,0.68,-0.68,1.34,-1.34,0.3,-0.3,-0.04,0.04,-0.07,0.07,0.0,-0.0,-0.04,0.04,-0.19,0.19,-0.12,0.12
300.0,0.25,0.293,6.71,-6.71,9.39,-9.39,1.78,-1.78,1.39,-1.39,-0.05,0.05,-0.93,0.93,0.01,-0.01,-0.05,0.05,-0.74,0.74,0.0,-0.0
300.0,0.4,0.157,2.17,-2.17,3.28,-3.28,1.68,-1.68,1.1,-1.1,-0.04,0.04,0.02,-0.02,0.01,-0.01,-0.04,0.04,-0.25,0.25,-0.12,0.12
400.0,0.0053,1.153,1.85,-1.85,1.83,-1.83,1.03,-1.03,0.01,-0.01,-0.01,0.01,-0.03,0.03,0.0,-0.0,-0.04,0.04,0.01,-0.01,-0.08,0.08
400.0,0.008,1.032,0.93,-0.93,0.47,-0.47,1.14,-1.14,0.29,-0.29,-0.16,0.16,0.0,-0.0,0.0,-0.0,-0.04,0.04,-0.56,0.56,-0.15,0.15
400.0,0.013,0.866,0.93,-0.93,0.54,-0.54,1.02,-1.02,0.1,-0.1,-0.06,0.06,-0.01,0.01,0.0,-0.0,-0.04,0.04,-0.14,0.14,-0.1,0.1
