# redx2009_full data excluding for 0.85 < q2 < 50.
q2	x	y	cme	redx	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	tot+	tot-	err
2.7	0.002	0.013000000000000001	319.0	0.484	0.9	-0.9	2.74	-2.74	0.9	-0.9	0.22	-0.22	0.16	-0.16	0.33	-0.33	0.5	-0.5	3.051311193569086
2.7	0.005	0.005	319.0	0.46	0.74	-0.74	1.82	-1.82	1.37	-1.37	0.38	-0.38	0.24	-0.24	-0.9	0.9	0.5	-0.5	2.5978645076292954
3.5	4.320000000000001e-05	0.8	319.0	0.868	3.1	-3.1	2.83	-2.83	3.74	-3.74	-0.07	0.07	4.91	-4.91	-0.32	0.32	0.5	-0.5	7.471405490267545
3.5	5.12e-05	0.675	319.0	0.937	2.17	-2.17	2.25	-2.25	1.66	-1.66	0.1	-0.1	2.04	-2.04	-0.01	0.01	0.5	-0.5	4.086404287390076
3.5	5.73e-05	0.677	301.0	1.0170000000000001	1.94	-1.94	3.35	-3.35	2.64	-2.64	1.16	-1.16	4.7	-4.7	0.56	-0.56	0.5	-0.5	6.760539919266804
3.5	8e-05	0.485	301.0	0.9790000000000001	0.98	-0.98	1.22	-1.22	1.02	-1.02	0.37	-0.37	1.71	-1.71	0.43	-0.43	0.5	-0.5	2.595207120828701
3.5	8e-05	0.4320000000000001	319.0	0.9540000000000001	1.26	-1.26	1.67	-1.67	0.8	-0.8	0.21	-0.21	0.37	-0.37	0.14	-0.14	0.5	-0.5	2.284097195830335
3.5	0.00013000000000000002	0.266	319.0	0.922	0.66	-0.66	0.86	-0.86	0.67	-0.67	0.27	-0.27	0.14	-0.14	0.26	-0.26	0.5	-0.5	1.3357394955604178
3.5	0.0002	0.17300000000000001	319.0	0.858	0.68	-0.68	0.83	-0.83	0.69	-0.69	0.27	-0.27	-0.09	0.09	0.21	-0.21	0.5	-0.5	1.3238202294873729
3.5	0.00032	0.10800000000000001	319.0	0.795	0.72	-0.72	0.88	-0.88	0.75	-0.75	0.44	-0.44	0.17	-0.17	0.04	-0.04	0.5	-0.5	1.4420124826089404
3.5	0.0005	0.069	319.0	0.754	0.75	-0.75	1.17	-1.17	0.77	-0.77	0.24	-0.24	0.14	-0.14	0.33	-0.33	0.5	-0.5	1.6463292501805342
3.5	0.0008	0.043	319.0	0.6629999999999999	0.67	-0.67	1.16	-1.16	0.8	-0.8	0.23	-0.23	-0.22	0.22	0.24	-0.24	0.5	-0.5	1.6104036761011196
3.5	0.0013	0.027000000000000003	319.0	0.627	0.87	-0.87	1.38	-1.38	0.86	-0.86	0.29	-0.29	0.2	-0.2	0.17	-0.17	0.5	-0.5	1.8851790365904242
3.5	0.002	0.017	319.0	0.5710000000000001	0.51	-0.51	0.87	-0.87	0.73	-0.73	0.33	-0.33	0.03	-0.03	0.15	-0.15	0.5	-0.5	1.2969965304502549
3.5	0.008	0.004	319.0	0.46299999999999997	0.59	-0.59	1.12	-1.12	1.03	-1.03	0.38	-0.38	0.13	-0.13	0.0	-0.0	0.5	-0.5	1.6806843844101131
4.5	6.18e-05	0.72	319.0	0.9570000000000001	3.13	-3.13	2.78	-2.78	3.52	-3.52	0.16	-0.16	4.8	-4.8	0.7	-0.7	0.5	-0.5	7.312407264369237
4.5	7.32e-05	0.607	319.0	1.018	1.6	-1.6	2.21	-2.21	1.11	-1.11	0.13	-0.13	1.06	-1.06	-0.01	0.01	0.5	-0.5	3.1331773010795287
4.5	8.18e-05	0.61	301.0	1.1179999999999999	1.6	-1.6	1.06	-1.06	1.45	-1.45	0.84	-0.84	2.58	-2.58	0.61	-0.61	0.5	-0.5	3.6769824584841295
4.5	0.00013000000000000002	0.384	301.0	1.015	1.02	-1.02	1.68	-1.68	0.81	-0.81	0.31	-0.31	0.61	-0.61	0.35	-0.35	0.5	-0.5	2.2604424345689496
4.5	0.00013000000000000002	0.342	319.0	1.031	1.3	-1.3	1.0	-1.0	0.7	-0.7	0.3	-0.3	0.33	-0.33	0.21	-0.21	0.5	-0.5	1.8501351301999536
4.5	0.0002	0.222	319.0	0.9670000000000001	0.74	-0.74	0.91	-0.91	0.71	-0.71	0.32	-0.32	-0.02	0.02	0.25	-0.25	0.5	-0.5	1.4300699283601486
4.5	0.00032	0.139	319.0	0.898	0.8	-0.8	0.96	-0.96	0.66	-0.66	0.22	-0.22	0.0	-0.0	0.14	-0.14	0.5	-0.5	1.4370803735351758
4.5	0.0005	0.08900000000000001	319.0	0.8	0.83	-0.83	0.88	-0.88	0.74	-0.74	0.46	-0.46	-0.02	0.02	0.25	-0.25	0.5	-0.5	1.5117539482336404
4.5	0.0008	0.055999999999999994	319.0	0.7240000000000001	0.82	-0.82	1.29	-1.29	0.76	-0.76	0.22	-0.22	-0.11	0.11	0.16	-0.16	0.5	-0.5	1.7321085416335775
4.5	0.0013	0.034	319.0	0.669	0.85	-0.85	1.31	-1.31	0.87	-0.87	0.26	-0.26	0.0	-0.0	0.09	-0.09	0.5	-0.5	1.8086459023258257
4.5	0.002	0.022000000000000002	319.0	0.618	0.88	-0.88	1.31	-1.31	0.79	-0.79	0.2	-0.2	-0.34	0.34	0.24	-0.24	0.5	-0.5	1.8242258632088293
4.5	0.0032	0.013999999999999999	319.0	0.575	0.67	-0.67	1.23	-1.23	0.86	-0.86	0.28	-0.28	0.1	-0.1	0.29	-0.29	0.5	-0.5	1.6952580924449232
6.5	8.03e-05	0.8	319.0	1.078	3.11	-3.11	2.64	-2.64	2.44	-2.44	0.08	-0.08	3.33	-3.33	0.12	-0.12	0.5	-0.5	5.805600744109089
6.5	9.51e-05	0.757	301.0	1.165	2.41	-2.41	0.99	-0.99	2.8	-2.8	0.7	-0.7	4.23	-4.23	0.47	-0.47	0.5	-0.5	5.764720288097247
6.5	9.51e-05	0.675	319.0	1.05	2.96	-2.96	2.31	-2.31	1.64	-1.64	0.09	-0.09	2.09	-2.09	0.03	-0.03	0.5	-0.5	4.600478236009817
6.5	0.00013000000000000002	0.5539999999999999	301.0	1.18	1.11	-1.11	0.6	-0.6	1.04	-1.04	0.43	-0.43	1.84	-1.84	0.39	-0.39	0.5	-0.5	2.52909074570289
6.5	0.00013000000000000002	0.494	319.0	1.122	1.67	-1.67	2.22	-2.22	0.83	-0.83	0.17	-0.17	0.2	-0.2	0.01	-0.01	0.5	-0.5	2.911219675668602
6.5	0.0002	0.36	301.0	1.1179999999999999	1.15	-1.15	1.41	-1.41	0.78	-0.78	0.32	-0.32	0.29	-0.29	0.41	-0.41	0.5	-0.5	2.067268729507608
6.5	0.0002	0.321	319.0	1.131	1.08	-1.08	0.63	-0.63	0.69	-0.69	0.2	-0.2	0.29	-0.29	0.24	-0.24	0.5	-0.5	1.4903355326905414
6.5	0.00032	0.201	319.0	1.006	0.78	-0.78	0.73	-0.73	0.67	-0.67	0.25	-0.25	-0.18	0.18	0.1	-0.1	0.5	-0.5	1.3019600608313606
6.5	0.0005	0.128	319.0	0.938	0.74	-0.74	1.16	-1.16	0.73	-0.73	0.22	-0.22	0.17	-0.17	0.13	-0.13	0.5	-0.5	1.5875452749449384
6.5	0.0008	0.08	319.0	0.857	0.79	-0.79	0.89	-0.89	0.73	-0.73	0.36	-0.36	0.01	-0.01	0.3	-0.3	0.5	-0.5	1.4726846234004074
6.5	0.0013	0.049	319.0	0.7609999999999999	0.8	-0.8	1.08	-1.08	0.72	-0.72	0.21	-0.21	-0.02	0.02	0.11	-0.11	0.5	-0.5	1.5431785379534022
6.5	0.002	0.032	319.0	0.6990000000000001	0.75	-0.75	0.87	-0.87	0.69	-0.69	0.11	-0.11	-0.05	0.05	0.3	-0.3	0.5	-0.5	1.3784411485442531
6.5	0.0032	0.02	319.0	0.644	0.67	-0.67	1.2	-1.2	0.83	-0.83	0.25	-0.25	0.07	-0.07	0.11	-0.11	0.5	-0.5	1.6301226947687095
6.5	0.005	0.013000000000000001	319.0	0.581	0.94	-0.94	0.85	-0.85	0.89	-0.89	0.16	-0.16	0.05	-0.05	0.28	-0.28	0.5	-0.5	1.5826244026931973
8.5	0.000105	0.8	319.0	1.178	3.72	-3.72	2.8	-2.8	2.14	-2.14	0.1	-0.1	2.88	-2.88	0.45	-0.45	0.5	-0.5	5.896176727337807
8.5	0.000124	0.675	319.0	1.209	2.26	-2.26	2.28	-2.28	1.05	-1.05	0.12	-0.12	0.92	-0.92	-0.04	0.04	0.5	-0.5	3.502984441872387
8.5	0.000139	0.6779999999999999	301.0	1.181	1.59	-1.59	1.25	-1.25	2.32	-2.32	0.84	-0.84	5.61	-5.61	0.51	-0.51	0.5	-0.5	6.4738551111374125
8.5	0.0002	0.47100000000000003	301.0	1.2209999999999999	1.07	-1.07	0.81	-0.81	0.83	-0.83	0.31	-0.31	1.07	-1.07	0.27	-0.27	0.5	-0.5	1.950333304848174
8.5	0.0002	0.42	319.0	1.178	1.52	-1.52	2.22	-2.22	0.79	-0.79	0.18	-0.18	0.03	-0.03	-0.01	0.01	0.5	-0.5	2.8100355869632687
8.5	0.00032	0.262	319.0	1.115	0.85	-0.85	0.84	-0.84	0.66	-0.66	0.32	-0.32	-0.05	0.05	0.16	-0.16	0.5	-0.5	1.412161463856028
