	qsq2	cme	x	sig	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20
48	0.65	318.0	0.000251	0.361	2.14	-2.14	1.39	-1.39	1.69	-1.69	0.88	-0.88	0.32	-0.32	-0.32	0.32	1.13	-1.13	0.0	-0.0	0.0	-0.0	0.01	-0.01
49	0.65	318.0	0.000478	0.332	2.29	-2.29	1.5	-1.5	1.93	-1.93	0.88	-0.88	0.43	-0.43	-0.36	0.36	0.94	-0.94	0.0	-0.0	0.0	-0.0	0.01	-0.01
50	0.65	318.0	0.0008	0.318	2.14	-2.14	1.35	-1.35	1.64	-1.64	0.71	-0.71	0.23	-0.23	-0.39	0.39	0.56	-0.56	0.0	-0.0	0.01	-0.01	0.03	-0.03
51	0.65	318.0	0.0032	0.22399999999999998	5.82	-5.82	3.18	-3.18	1.27	-1.27	0.39	-0.39	-0.1	0.1	-0.56	0.56	0.54	-0.54	0.0	-0.0	0.02	-0.02	0.06	-0.06
52	0.85	318.0	1.24e-05	0.552	2.57	-2.57	2.52	-2.52	2.21	-2.21	0.27	-0.27	1.92	-1.92	0.02	-0.02	1.03	-1.03	-0.04	0.04	0.0	-0.0	0.04	-0.04
53	0.85	318.0	2e-05	0.611	1.96	-1.96	5.36	-5.36	1.63	-1.63	0.49	-0.49	-0.13	0.13	-0.4	0.4	-0.04	0.04	-0.02	0.02	0.01	-0.01	0.05	-0.05
54	0.85	318.0	3.98e-05	0.5579999999999999	2.03	-2.03	1.86	-1.86	1.77	-1.77	0.44	-0.44	-0.45	0.45	-0.39	0.39	-1.05	1.05	-0.01	0.01	0.0	-0.0	0.03	-0.03
55	0.85	318.0	5e-05	0.541	2.93	-2.93	4.52	-4.52	2.36	-2.36	0.62	-0.62	-0.28	0.28	-0.09	0.09	-0.25	0.25	0.0	-0.0	0.01	-0.01	0.06	-0.06
56	0.85	318.0	0.0001	0.503	2.65	-2.65	3.78	-3.78	3.73	-3.73	0.43	-0.43	-1.31	1.31	0.49	-0.49	-0.55	0.55	-0.05	0.05	0.0	-0.0	0.03	-0.03
57	0.85	318.0	0.000251	0.397	6.01	-6.01	2.98	-2.98	2.33	-2.33	0.38	-0.38	-0.76	0.76	-0.54	0.54	0.96	-0.96	-0.02	0.02	0.02	-0.02	0.04	-0.04
58	0.85	318.0	0.0008	0.349	4.61	-4.61	2.67	-2.67	1.46	-1.46	0.55	-0.55	-0.41	0.41	-0.28	0.28	-0.85	0.85	-0.01	0.01	0.02	-0.02	0.07	-0.07
59	0.85	318.0	0.0032	0.308	4.54	-4.54	2.83	-2.83	1.04	-1.04	0.39	-0.39	-0.21	0.21	-0.15	0.15	-0.67	0.67	0.0	-0.0	0.02	-0.02	0.08	-0.08
