q2	x	f2	fl	redx
22.0	0.0001467799267622069	1.9265003794547304	0.6568938260830992	1.2696065533716312
22.0	0.00021544346900318823	1.7540432570699112	0.3397296393695216	1.4143136177003894
22.0	0.00031622776601683794	1.591769393123785	0.12956288219928624	1.4622065109244988
22.0	0.00046415888336127773	1.441835727237969	0.04625584585145413	1.3955798813865148
22.0	0.0006812920690579609	1.3027572599389166	0.016854049179623017	1.2859032107592936
22.0	0.001	1.1732836019234483	0.006338603896273472	1.1669449980271749
22.0	0.0014677992676220691	1.0553468994236581	0.002444723638931469	1.0529021757847266
22.0	0.002154434690031882	0.9455821382514941	0.0009590701118049557	0.9446230681396891
22.0	0.0031622776601683794	0.8446103885240487	0.00038012455028621977	0.8442302639737624
22.0	0.004641588833612777	0.7519535392453239	0.00015144526563567272	0.7518020939796882
22.0	0.006812920690579608	0.6671610720309955	6.042367052729406e-05	0.6671006483604682
22.0	0.01	0.5898245689594336	2.407337432244443e-05	0.5898004955851112
45.0	1e-06	5.816007187558081	1.1482598837468463	4.667747303811234
45.0	1.4677992676220705e-06	5.816007187558081	1.1506765755829673	4.665330611975113
45.0	2.1544346900318822e-06	5.816007187558081	1.154232944332307	4.661774243225774
45.0	3.162277660168379e-06	5.816007187558081	1.1594726899487942	4.656534497609287
45.0	4.641588833612782e-06	5.546692925121227	1.1111504702958481	4.435542454825379
45.0	6.8129206905796085e-06	5.107709804275207	1.029760410467873	4.077949393807334
45.0	1e-05	4.695157986232003	0.9566406019549574	3.7385173842770456
45.0	1.4677992676220675e-05	4.308631404069862	0.8929217532629367	3.4157096508069253
45.0	2.1544346900318823e-05	3.946662917204907	0.839777985633683	3.106884931571224
45.0	3.1622776601683795e-05	3.6082155381192513	0.7992558519524783	2.808959686166773
45.0	4.641588833612772e-05	3.289389931845543	0.7744747178286175	2.5149152140169253
45.0	6.812920690579608e-05	2.9978548639952014	0.7699328395643215	2.22792202443088
45.0	0.0001	2.7178029004302986	0.7810974008821538	1.9367054995481447
