s	qsq2	x	f2	fl	sig
319	27	0.007498942093324558	0.021966136582234876	2.3968929069982044e-06	0.02196373968932788
319	27	0.01	0.020076201375668287	1.2064939694033417e-06	0.020074994881698883
319	200	1e-05	0.25380672098881674	0.043036009335728764	0.21077071165308797
319	200	1.333521432163324e-05	0.2364280659835006	0.040079167901329205	0.1963488980821714
319	200	1.778279410038923e-05	0.21996811694636384	0.03732689996993141	0.18264121697643243
319	200	2.3713737056616554e-05	0.20445233308662003	0.034779119199398856	0.16967321388722117
319	200	3.1622776601683795e-05	0.1898383058135459	0.032434019076040585	0.15740428673750534
319	200	4.216965034285822e-05	0.17608275498501935	0.030292701127517193	0.14579005385750216
319	200	5.623413251903491e-05	0.1631432023844443	0.02835995077531012	0.13478325160913418
319	200	7.498942093324559e-05	0.15099165148226198	0.026643863885305312	0.12434778759695667
319	200	0.0001	0.1395866634998761	0.025157668696191206	0.1144289948036849
319	200	0.0001333521432163324	0.12889164135427733	0.023921288960657296	0.10497035239362004
319	200	0.00017782794100389227	0.11887053241671222	0.022963666228652962	0.09590686618805926
319	200	0.00023713737056616554	0.10948973286631504	0.02232514844882484	0.0871645844174902
319	200	0.00031622776601683794	0.10071693917059026	0.022055714998836143	0.07866122417175411
319	200	0.00042169650342858224	0.09252060271273144	0.022196967837468797	0.07032363487526264
319	200	0.0005623413251903491	0.08487021607074897	0.02270195364754039	0.06216826242320858
319	200	0.0007498942093324559	0.0777364951485213	0.023164125500158356	0.05457236964836294
319	200	0.001	0.07109144968734497	0.022238515450986557	0.04885293423635842
319	200	0.001333521432163324	0.06490812755527207	0.01790734338523784	0.047000784170034234
319	200	0.0017782794100389228	0.05916063629231529	0.011046804265679267	0.04811383202663602
319	200	0.0023713737056616554	0.05382407481691179	0.005515385434752289	0.0483086893821595
319	200	0.0031622776601683794	0.04887481023389012	0.0025183196939509477	0.04635649053993917
319	200	0.004216965034285823	0.044290130244659984	0.0011335004222642149	0.04315662982239577
319	200	0.005623413251903491	0.04000937861494136	0.0005131827247711897	0.03949619589017017
