	qsq2	cme	x	sig	err
157	8.5	318.0	0.0013	0.8390000000000001	0.91
158	8.5	318.0	0.002	0.769	1.32
159	8.5	318.0	0.0032	0.6609999999999999	1.33
160	8.5	318.0	0.005	0.632	1.25
161	10.0	318.0	0.00032	1.138	1.92
162	10.0	318.0	0.0005	1.058	1.78
163	10.0	318.0	0.0008	0.977	1.84
164	10.0	318.0	0.0013	0.888	2.13
165	10.0	318.0	0.002	0.802	2.04
166	10.0	318.0	0.005	0.628	1.12
167	12.0	318.0	0.000139	1.281	2.91
168	12.0	318.0	0.000161	1.34	1.42
169	12.0	318.0	0.000182	1.295	1.68
170	12.0	318.0	0.0002	1.294	1.22
171	12.0	318.0	0.00032	1.223	0.78
172	12.0	318.0	0.0005	1.145	0.76
173	12.0	318.0	0.0008	1.045	0.75
174	12.0	318.0	0.0013	0.935	1.03
175	12.0	318.0	0.002	0.851	1.03
176	12.0	318.0	0.0032	0.754	1.36
177	12.0	318.0	0.005	0.679	1.26
178	15.0	318.0	0.000174	1.34	3.71
179	15.0	318.0	0.0002	1.386	2.64
180	15.0	318.0	0.000228	1.33	2.33
181	15.0	318.0	0.00032	1.3130000000000002	1.08
182	15.0	318.0	0.0005	1.207	0.76
183	15.0	318.0	0.0008	1.105	0.76
184	15.0	318.0	0.0013	0.979	0.79
185	15.0	318.0	0.002	0.868	0.83
186	15.0	318.0	0.0032	0.7829999999999999	0.8
187	15.0	318.0	0.005	0.713	0.77
188	15.0	318.0	0.008	0.632	0.78
189	18.0	318.0	0.000209	1.37	3.73
190	18.0	318.0	0.000237	1.379	2.0
191	18.0	318.0	0.000268	1.372	1.18
192	18.0	318.0	0.000328	1.383	1.19
193	18.0	318.0	0.0005	1.281	0.79
194	18.0	318.0	0.0008	1.155	0.75
195	18.0	318.0	0.0013	1.038	0.76
196	18.0	318.0	0.002	0.94	0.79
197	18.0	318.0	0.0032	0.8290000000000001	0.77
198	18.0	318.0	0.005	0.7440000000000001	0.77
199	18.0	318.0	0.008	0.664	0.81
200	22.0	318.0	0.00029	1.4340000000000002	2.21
201	22.0	318.0	0.00032	1.431	2.81
202	22.0	318.0	0.00034500000000000004	1.41	1.5
203	22.0	318.0	0.000388	1.393	1.03
204	22.0	318.0	0.0005	1.382	0.98
205	22.0	318.0	0.000592	1.327	1.03
206	22.0	318.0	0.0008	1.229	0.93
207	22.0	318.0	0.0013	1.057	2.27
208	22.0	318.0	0.002	0.99	1.24
209	22.0	318.0	0.0032	0.9	2.56
210	22.0	318.0	0.005	0.769	2.37
211	22.0	318.0	0.008	0.6559999999999999	2.43
212	27.0	318.0	0.000314	1.48	3.86
213	27.0	318.0	0.000355	1.4409999999999998	2.64
214	27.0	318.0	0.00041	1.462	2.16
215	27.0	318.0	0.0005	1.411	0.87
216	27.0	318.0	0.0008	1.289	0.74
217	27.0	318.0	0.0013	1.154	0.76
218	27.0	318.0	0.002	1.044	0.77
219	27.0	318.0	0.0032	0.913	0.78
220	27.0	318.0	0.005	0.8	0.78
221	27.0	318.0	0.008	0.7070000000000001	0.78
222	35.0	318.0	0.00046	1.4269999999999998	1.99
223	35.0	318.0	0.0005	1.472	1.91
224	35.0	318.0	0.000531	1.44	1.24
225	35.0	318.0	0.000616	1.4580000000000002	1.23
226	35.0	318.0	0.000657	1.433	0.97
227	35.0	318.0	0.0008	1.386	0.76
228	35.0	318.0	0.001	1.3119999999999998	0.84
