q2	x	y	cme	redx	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	tot+	tot-	err
0.35	0.0005	0.006999999999999999	319.0	0.242	2.51	-2.51	1.42	-1.42	1.75	-1.75	1.31	-1.31	-0.25	0.25	1.12	-1.12	0.5	-0.5	1.0
0.35	0.00251	0.001	319.0	0.202	9.97	-9.97	4.55	-4.55	1.47	-1.47	0.35	-0.35	0.16	-0.16	0.77	-0.77	0.5	-0.5	1.0
0.4	8.83e-06	0.502	301.0	0.354	3.86	-3.86	1.5	-1.5	2.56	-2.56	1.29	-1.29	0.52	-0.52	0.16	-0.16	0.5	-0.5	1.0
0.4	1.1e-05	0.403	301.0	0.3720000000000001	2.18	-2.18	0.88	-0.88	2.2	-2.2	1.48	-1.48	0.04	-0.04	0.22	-0.22	0.5	-0.5	1.0
0.4	1.33e-05	0.297	319.0	0.35700000000000004	1.97	-1.97	0.88	-0.88	1.98	-1.98	1.34	-1.34	-0.27	0.27	0.29	-0.29	0.5	-0.5	1.0
0.4	1.7e-05	0.233	319.0	0.355	1.66	-1.66	0.83	-0.83	1.81	-1.81	1.18	-1.18	-0.31	0.31	0.09	-0.09	0.5	-0.5	1.0
0.4	2.2e-05	0.18	319.0	0.336	1.45	-1.45	0.78	-0.78	1.8	-1.8	1.25	-1.25	-0.32	0.32	0.42	-0.42	0.5	-0.5	1.0
0.4	3.68e-05	0.107	319.0	0.332	1.26	-1.26	0.77	-0.77	2.49	-2.49	2.27	-2.27	-0.33	0.33	2.14	-2.14	0.5	-0.5	1.0
0.4	8.83e-05	0.045	319.0	0.321	2.71	-2.71	1.5	-1.5	1.49	-1.49	0.98	-0.98	-0.26	0.26	0.41	-0.41	0.5	-0.5	1.0
0.4	0.000176	0.022	319.0	0.28800000000000003	2.78	-2.78	1.5	-1.5	1.7	-1.7	0.72	-0.72	-0.32	0.32	-0.22	0.22	0.5	-0.5	1.0
0.4	0.000294	0.013	319.0	0.277	2.74	-2.74	1.5	-1.5	1.59	-1.59	0.99	-0.99	-0.28	0.28	0.33	-0.33	0.5	-0.5	1.0
0.4	0.0006309999999999999	0.006	319.0	0.261	2.74	-2.74	1.5	-1.5	2.0	-2.0	1.28	-1.28	-0.28	0.28	0.38	-0.38	0.5	-0.5	1.0
0.5	7.32e-06	0.675	319.0	0.428	5.55	-5.55	5.73	-5.73	4.17	-4.17	-0.49	0.49	-2.46	2.46	-0.38	0.38	0.5	-0.5	1.0
0.5	8.599999999999999e-06	0.645	301.0	0.443	3.74	-3.74	9.17	-9.17	3.57	-3.57	0.58	-0.58	2.86	-2.86	0.7	-0.7	0.5	-0.5	1.0
0.5	1.58e-05	0.313	319.0	0.429	3.53	-3.53	1.48	-1.48	2.33	-2.33	1.22	-1.22	-0.17	0.17	0.14	-0.14	0.5	-0.5	1.0
0.5	2.12e-05	0.233	319.0	0.392	2.06	-2.06	0.8	-0.8	1.95	-1.95	1.12	-1.12	-0.25	0.25	-0.05	0.05	0.5	-0.5	1.0
0.5	2.7600000000000007e-05	0.179	319.0	0.379	1.71	-1.71	0.76	-0.76	1.94	-1.94	1.35	-1.35	-0.3	0.3	0.39	-0.39	0.5	-0.5	1.0
0.5	3.98e-05	0.124	319.0	0.3670000000000001	1.48	-1.48	0.81	-0.81	2.57	-2.57	2.32	-2.32	-0.52	0.52	2.05	-2.05	0.5	-0.5	1.0
0.5	0.0001	0.049	319.0	0.349	1.74	-1.74	1.45	-1.45	1.5	-1.5	0.69	-0.69	-0.32	0.32	-0.1	0.1	0.5	-0.5	1.0
0.5	0.000251	0.02	319.0	0.308	1.87	-1.87	1.43	-1.43	1.55	-1.55	0.41	-0.41	-0.24	0.24	-0.36	0.36	0.5	-0.5	1.0
0.5	0.000368	0.013	319.0	0.301	2.02	-2.02	1.5	-1.5	1.61	-1.61	0.8	-0.8	-0.23	0.23	0.16	-0.16	0.5	-0.5	1.0
0.5	0.0008	0.006	319.0	0.28800000000000003	2.04	-2.04	1.38	-1.38	1.46	-1.46	0.91	-0.91	-0.18	0.18	0.49	-0.49	0.5	-0.5	1.0
0.5	0.0032	0.002	301.0	0.183	11.35	-11.35	6.39	-6.39	1.23	-1.23	0.25	-0.25	0.32	-0.32	0.55	-0.55	0.5	-0.5	1.0
0.65	9.52e-06	0.675	319.0	0.465	4.02	-4.02	2.9	-2.9	2.56	-2.56	-0.17	0.17	-1.33	1.33	0.23	-0.23	0.5	-0.5	1.0
0.65	1.12e-05	0.643	301.0	0.514	4.25	-4.25	2.62	-2.62	2.9	-2.9	0.86	-0.86	2.58	-2.58	0.69	-0.69	0.5	-0.5	1.0
0.65	1.58e-05	0.407	319.0	0.464	3.09	-3.09	5.44	-5.44	1.51	-1.51	0.13	-0.13	-0.01	0.01	0.55	-0.55	0.5	-0.5	1.0
0.65	1.64e-05	0.439	301.0	0.509	3.02	-3.02	7.28	-7.28	2.37	-2.37	0.42	-0.42	1.05	-1.05	0.38	-0.38	0.5	-0.5	1.0
0.65	3.98e-05	0.161	319.0	0.475	2.73	-2.73	0.68	-0.68	2.31	-2.31	1.43	-1.43	-0.14	0.14	0.14	-0.14	0.5	-0.5	1.0
0.65	5.98e-05	0.107	319.0	0.42	1.99	-1.99	0.74	-0.74	3.14	-3.14	2.69	-2.69	-0.23	0.23	2.11	-2.11	0.5	-0.5	1.0
0.65	0.0001	0.064	319.0	0.41	2.08	-2.08	1.47	-1.47	1.98	-1.98	1.0	-1.0	-0.5	0.5	0.16	-0.16	0.5	-0.5	1.0
0.65	0.000251	0.026	319.0	0.362	2.14	-2.14	1.39	-1.39	1.62	-1.62	0.77	-0.77	-0.17	0.17	0.51	-0.51	0.5	-0.5	1.0
0.65	0.000478	0.013	319.0	0.333	2.29	-2.29	1.5	-1.5	1.87	-1.87	0.83	-0.83	-0.3	0.3	0.31	-0.31	0.5	-0.5	1.0
0.65	0.0008	0.008	319.0	0.319	2.14	-2.14	1.35	-1.35	1.57	-1.57	0.64	-0.64	-0.18	0.18	0.34	-0.34	0.5	-0.5	1.0
0.65	0.0032	0.002	319.0	0.225	5.8	-5.8	3.18	-3.18	1.19	-1.19	0.27	-0.27	0.0	-0.0	0.74	-0.74	0.5	-0.5	1.0
0.85	1.24e-05	0.677	319.0	0.5529999999999999	2.57	-2.57	2.52	-2.52	2.2	-2.2	-0.1	0.1	-1.01	1.01	0.01	-0.01	0.5	-0.5	1.0
0.85	1.3800000000000003e-05	0.6829999999999999	301.0	0.616	5.2	-5.2	9.45	-9.45	5.07	-5.07	0.72	-0.72	4.08	-4.08	1.06	-1.06	0.5	-0.5	1.0
0.85	2e-05	0.471	301.0	0.602	2.96	-2.96	2.12	-2.12	2.03	-2.03	0.62	-0.62	1.39	-1.39	0.49	-0.49	0.5	-0.5	1.0
0.85	2e-05	0.42	319.0	0.613	1.95	-1.95	5.36	-5.36	1.58	-1.58	0.25	-0.25	0.31	-0.31	0.54	-0.54	0.5	-0.5	1.0
0.85	3.98e-05	0.211	319.0	0.561	2.02	-2.02	1.85	-1.85	1.75	-1.75	0.29	-0.29	0.49	-0.49	0.42	-0.42	0.5	-0.5	1.0
0.85	5e-05	0.168	319.0	0.544	2.92	-2.92	4.52	-4.52	2.32	-2.32	0.41	-0.41	0.24	-0.24	0.24	-0.24	0.5	-0.5	1.0
0.85	0.0001	0.084	319.0	0.502	2.65	-2.65	3.78	-3.78	3.74	-3.74	0.17	-0.17	1.73	-1.73	0.08	-0.08	0.5	-0.5	1.0
0.85	0.000251	0.033	319.0	0.398	5.99	-5.99	2.98	-2.98	2.29	-2.29	-0.01	0.01	0.73	-0.73	0.83	-0.83	0.5	-0.5	1.0
0.85	0.0008	0.01	319.0	0.35100000000000003	4.6	-4.6	2.67	-2.67	1.4	-1.4	0.33	-0.33	0.46	-0.46	0.26	-0.26	0.5	-0.5	1.0
0.85	0.0032	0.003	301.0	0.309	4.53	-4.53	2.83	-2.83	0.94	-0.94	0.24	-0.24	0.14	-0.14	-0.07	0.07	0.5	-0.5	1.0
