q2	x	y	redx	err
4.5	0.0013	0.034	0.669	0.012042
4.5	0.002	0.022	0.618	0.0113094
4.5	0.0032	0.014	0.575	0.009775
6.5	8.03e-05	0.8	1.078	0.0626318
6.5	9.51e-05	0.757	1.165	0.067104
6.5	9.51e-05	0.675	1.05	0.0483
6.5	0.00013000000000000002	0.5539999999999999	1.18	0.029854
6.5	0.00013000000000000002	0.494	1.122	0.032650200000000004
6.5	0.0002	0.36	1.118	0.0231426
6.5	0.0002	0.321	1.131	0.0168519
6.5	0.00032	0.201	1.006	0.0131786
6.5	0.0005	0.128	0.938	0.0149142
6.5	0.0008	0.08	0.857	0.0125979
6.5	0.0013	0.049	0.7609999999999999	0.0117194
6.5	0.002	0.032	0.6990000000000001	0.0096462
6.5	0.0032	0.02	0.644	0.010497200000000002
6.5	0.005	0.013	0.581	0.009179799999999998
8.5	0.000105	0.8	1.178	0.069502
8.5	0.000124	0.675	1.209	0.042315
8.5	0.000139	0.6779999999999999	1.181	0.0764107
8.5	0.0002	0.471	1.221	0.0238095
8.5	0.0002	0.42	1.178	0.0331018
8.5	0.00032	0.262	1.115	0.0157215
8.5	0.0005	0.168	1.022	0.0147168
8.5	0.0008	0.105	0.936	0.013104
8.5	0.0013	0.065	0.8440000000000001	0.012238
8.5	0.002	0.042	0.773	0.0141459
8.5	0.0032	0.026	0.664	0.0126824
8.5	0.005	0.017	0.635	0.0109855
10.0	0.00013000000000000002	0.853	1.141	0.0893403
10.0	0.0002	0.5539999999999999	1.248	0.0409344
10.0	0.00032	0.309	1.153	0.0277873
10.0	0.0005	0.198	1.069	0.0243732
10.0	0.0008	0.124	0.983	0.0233954
10.0	0.0013	0.076	0.898	0.0234378
10.0	0.002	0.049	0.809	0.0230565
10.0	0.005	0.02	0.633	0.0105078
12.0	0.000161	0.826	1.238	0.0701946
12.0	0.0002	0.665	1.293	0.0484875
12.0	0.0002	0.593	1.314	0.050194800000000005
12.0	0.00032	0.416	1.233	0.0253998
12.0	0.00032	0.371	1.233	0.017262
12.0	0.0005	0.237	1.153	0.0129136
12.0	0.0008	0.14800000000000002	1.056	0.0118272
12.0	0.0013	0.091	0.941	0.014115
12.0	0.002	0.059	0.856	0.013268
12.0	0.0032	0.037000000000000005	0.757	0.0146858
12.0	0.005	0.024	0.682	0.0118668
15.0	0.0002	0.831	1.27	0.06248400000000001
