q2	cme	x	redx
6.5	225.0	0.000414	0.9337579962046321
8.5	225.0	0.000197	1.0350969246567938
8.5	225.0	0.00022400000000000002	1.0531144105044572
8.5	225.0	0.00023999999999999998	1.0579894196898008
8.5	225.0	0.000258	1.0599846571059572
8.5	225.0	0.000299	1.0559940083308879
8.5	225.0	0.000342	1.0453202151408703
8.5	225.0	0.000433	1.0165101528539457
8.5	225.0	0.000541	0.9829393150624353
8.5	225.0	0.0008380000000000001	0.9108627364816805
8.5	225.0	0.0014	0.8265949858532642
12.0	225.0	0.000278	1.1077281860583565
12.0	225.0	0.00031600000000000004	1.124350116579405
12.0	225.0	0.000343	1.1285829464414907
12.0	225.0	0.000364	1.128963636511368
12.0	225.0	0.00042300000000000004	1.1217749741566705
12.0	225.0	0.00048300000000000003	1.1081486781248402
12.0	225.0	0.000592	1.0788769330400068
12.0	225.0	0.0007639999999999999	1.0344879256297415
12.0	225.0	0.00118	0.9524504783147735
12.0	225.0	0.00197	0.8570996105785386
15.0	225.0	0.000348	1.1483584877161157
15.0	225.0	0.000394	1.1632348142615176
15.0	225.0	0.00042199999999999996	1.1663548312045013
15.0	225.0	0.000455	1.1661806120710179
15.0	225.0	0.000529	1.156718041496911
15.0	225.0	0.000604	1.140970003613758
15.0	225.0	0.000763	1.1029255230055484
15.0	225.0	0.0009550000000000001	1.0598638574963142
15.0	225.0	0.00148	0.9704774653303072
20.0	225.0	0.00046399999999999995	1.1912962396937432
20.0	225.0	0.000526	1.204140099603868
20.0	225.0	0.000607	1.2042217326326201
20.0	225.0	0.000805	1.1731092189337835
20.0	225.0	0.0012699999999999999	1.0827961540825002
20.0	225.0	0.00197	0.9847465135839288
20.0	225.0	0.00329	0.8734498598279191
25.0	225.0	0.000616	1.2229095429932504
25.0	225.0	0.000657	1.227577897519085
25.0	225.0	0.0007	1.228311551347518
25.0	225.0	0.000759	1.22525504327314
25.0	225.0	0.00088	1.2103681618202546
25.0	225.0	0.00101	1.1886524522409228
25.0	225.0	0.0012699999999999999	1.1425638423557467
25.0	225.0	0.00159	1.0912590014934638
25.0	225.0	0.00247	0.9865964904928658
25.0	225.0	0.00411	0.8698311125912346
35.0	225.0	0.0008119999999999999	1.2390285993797678
35.0	225.0	0.000921	1.246383093937067
35.0	225.0	0.001	1.2444200253431328
35.0	225.0	0.00106	1.241947010219338
35.0	225.0	0.00123	1.2230956704270226
35.0	225.0	0.00141	1.198138805594535
35.0	225.0	0.0018	1.1415865001650358
35.0	225.0	0.00223	1.0892308983912211
35.0	225.0	0.0031	1.003268373516616
35.0	225.0	0.00345	0.9759471984682276
35.0	225.0	0.00575	0.8507603662524578
45.0	225.0	0.0010400000000000001	1.2461574461125497
45.0	225.0	0.00118	1.2507891477559805
45.0	225.0	0.0012699999999999999	1.2477275558039371
45.0	225.0	0.00137	1.2408276181749014
45.0	225.0	0.00159	1.2185933801216355
45.0	225.0	0.0018100000000000002	1.1923876324939189
45.0	225.0	0.00229	1.1354739658021618
45.0	225.0	0.00286	1.074746998035306
45.0	225.0	0.0044399999999999995	0.9577766008432967
45.0	225.0	0.0074	0.8273058284835962
